t_s	measured_width_mm	target_width_mm
0.0012526512145996094	nan	2.0
0.042372941970825195	nan	2.0
0.05806565284729004	nan	2.0
0.07059359550476074	nan	2.0
0.0848855972290039	nan	2.0
0.09798026084899902	nan	2.0
0.11006689071655273	nan	2.0
0.12373495101928711	nan	2.0
0.13558316230773926	nan	2.0
0.14769792556762695	nan	2.0
0.16336536407470703	nan	2.0
0.1766362190246582	nan	2.0
0.18906068801879883	nan	2.0
0.2007753849029541	nan	2.0
0.21773242950439453	nan	2.0
0.2421092987060547	nan	2.0
0.26139163970947266	nan	2.0
0.2817072868347168	nan	2.0
0.2974731922149658	nan	2.0
0.3113560676574707	nan	2.0
0.3255958557128906	nan	2.0
0.34017348289489746	nan	2.0
0.35497546195983887	nan	2.0
0.369035005569458	nan	2.0
0.38179516792297363	nan	2.0
0.3971517086029053	nan	2.0
0.41075706481933594	nan	2.0
0.4278395175933838	nan	2.0
0.4454307556152344	nan	2.0
0.45664238929748535	nan	2.0
0.4775362014770508	nan	2.0
0.49705982208251953	nan	2.0
0.509629487991333	nan	2.0
0.5290765762329102	nan	2.0
0.5425765514373779	nan	2.0
0.5562193393707275	nan	2.0
0.5724756717681885	nan	2.0
0.5858080387115479	nan	2.0
0.5998742580413818	nan	2.0
0.6181797981262207	nan	2.0
0.631096601486206	nan	2.0
0.6450226306915283	nan	2.0
0.6613600254058838	nan	2.0
0.6728782653808594	nan	2.0
0.6909458637237549	nan	2.0
0.7078886032104492	nan	2.0
0.7219338417053223	nan	2.0
0.7371349334716797	nan	2.0
0.7497708797454834	nan	2.0
0.764925479888916	nan	2.0
0.7884194850921631	nan	2.0
0.8046045303344727	nan	2.0
0.8191232681274414	nan	2.0
0.8378698825836182	nan	2.0
0.8608872890472412	nan	2.0
0.8832333087921143	nan	2.0
0.8987290859222412	nan	2.0
0.9152534008026123	nan	2.0
0.931175947189331	nan	2.0
0.9435489177703857	nan	2.0
0.9660215377807617	nan	2.0
0.9802420139312744	nan	2.0
0.9935116767883301	nan	2.0
1.0127911567687988	nan	2.0
1.0270185470581055	nan	2.0
1.0424513816833496	nan	2.0
1.0597915649414062	nan	2.0
1.072082757949829	nan	2.0
1.1001920700073242	nan	2.0
1.1162896156311035	nan	2.0
1.1396815776824951	nan	2.0
1.1515212059020996	nan	2.0
1.1704726219177246	nan	2.0
1.190234661102295	nan	2.0
1.2045824527740479	nan	2.0
1.2257635593414307	nan	2.0
1.2395176887512207	nan	2.0
1.2575011253356934	nan	2.0
1.279341459274292	nan	2.0
1.2934746742248535	nan	2.0
1.3107526302337646	nan	2.0
1.3254036903381348	nan	2.0
1.340392827987671	nan	2.0
1.3583860397338867	nan	2.0
1.3719477653503418	nan	2.0
1.3836274147033691	nan	2.0
1.397237777709961	nan	2.0
1.4108469486236572	nan	2.0
1.4245588779449463	nan	2.0
1.437920093536377	nan	2.0
1.451913833618164	nan	2.0
1.4667458534240723	nan	2.0
1.4820888042449951	nan	2.0
1.4972875118255615	nan	2.0
1.5089545249938965	nan	2.0
1.5295259952545166	nan	2.0
1.5453977584838867	nan	2.0
1.5688166618347168	nan	2.0
1.5843744277954102	nan	2.0
1.6032230854034424	nan	2.0
1.624070405960083	nan	2.0
1.6427302360534668	nan	2.0
1.6602327823638916	nan	2.0
1.6754450798034668	nan	2.0
1.6943767070770264	nan	2.0
1.7122282981872559	nan	2.0
1.7289302349090576	nan	2.0
1.7547252178192139	nan	2.0
1.7698249816894531	nan	2.0
1.793752670288086	nan	2.0
1.8113672733306885	nan	2.0
1.8318736553192139	nan	2.0
1.8505187034606934	nan	2.0
1.8719713687896729	nan	2.0
1.8919782638549805	nan	2.0
1.9114508628845215	nan	2.0
1.9345433712005615	nan	2.0
1.9541754722595215	nan	2.0
1.9747695922851562	nan	2.0
1.991081953048706	nan	2.0
2.0149319171905518	nan	2.0
2.032367706298828	nan	2.0
2.052332639694214	nan	2.0
2.0719785690307617	nan	2.0
2.096034049987793	nan	2.0
2.121544361114502	nan	2.0
2.140467882156372	nan	2.0
2.161510944366455	nan	2.0
2.178117275238037	nan	2.0
2.198730230331421	nan	2.0
2.214949131011963	nan	2.0
2.2371764183044434	nan	2.0
2.2569644451141357	nan	2.0
2.2712619304656982	nan	2.0
2.2849597930908203	nan	2.0
2.298264980316162	nan	2.0
2.311901807785034	nan	2.0
2.33001708984375	nan	2.0
2.3434762954711914	nan	2.0
2.3552985191345215	nan	2.0
2.3661386966705322	nan	2.0
2.3785436153411865	nan	2.0
2.3920626640319824	nan	2.0
2.406564712524414	nan	2.0
2.4208009243011475	nan	2.0
2.435363292694092	nan	2.0
2.448882579803467	nan	2.0
2.462877035140991	nan	2.0
2.4760777950286865	nan	2.0
2.4907028675079346	nan	2.0
2.506746530532837	nan	2.0
2.521031141281128	nan	2.0
2.5358405113220215	nan	2.0
2.5497729778289795	nan	2.0
2.563278913497925	nan	2.0
2.576444387435913	nan	2.0
2.589850664138794	nan	2.0
2.6041014194488525	nan	2.0
2.6178512573242188	nan	2.0
2.6308231353759766	nan	2.0
2.6454005241394043	nan	2.0
2.6582677364349365	nan	2.0
2.672410488128662	nan	2.0
2.687731981277466	nan	2.0
2.7024648189544678	nan	2.0
2.7215864658355713	nan	2.0
2.737759828567505	nan	2.0
2.752087116241455	nan	2.0
2.7677032947540283	nan	2.0
2.7819111347198486	nan	2.0
2.795476198196411	nan	2.0
2.8119490146636963	nan	2.0
2.8287532329559326	nan	2.0
2.8412625789642334	nan	2.0
2.8535842895507812	nan	2.0
2.86799693107605	nan	2.0
2.8804378509521484	nan	2.0
2.891757011413574	nan	2.0
2.9057235717773438	nan	2.0
2.9189445972442627	nan	2.0
2.930570363998413	nan	2.0
2.941997766494751	nan	2.0
2.9563958644866943	nan	2.0
2.9691686630249023	nan	2.0
2.980692148208618	nan	2.0
2.99416184425354	nan	2.0
3.0083374977111816	nan	2.0
3.0213849544525146	nan	2.0
3.034090042114258	nan	2.0
3.0460681915283203	nan	2.0
3.058375120162964	nan	2.0
3.0700576305389404	nan	2.0
3.083629608154297	nan	2.0
3.0988717079162598	nan	2.0
3.114041805267334	nan	2.0
3.126013994216919	nan	2.0
3.1442956924438477	nan	2.0
3.159576416015625	nan	2.0
3.172995090484619	nan	2.0
3.1895275115966797	nan	2.0
3.203171968460083	nan	2.0
3.222126007080078	nan	2.0
3.239879846572876	nan	2.0
3.2551991939544678	nan	2.0
3.2668418884277344	nan	2.0
3.2783429622650146	nan	2.0
3.2901744842529297	nan	2.0
3.303917407989502	nan	2.0
3.315960168838501	nan	2.0
3.328385353088379	nan	2.0
3.3419888019561768	nan	2.0
3.3540186882019043	nan	2.0
3.364905834197998	nan	2.0
3.375818967819214	nan	2.0
3.38981556892395	nan	2.0
3.402128219604492	nan	2.0
3.4129691123962402	nan	2.0
3.4269230365753174	nan	2.0
3.4401111602783203	nan	2.0
3.451042652130127	nan	2.0
3.462576150894165	nan	2.0
3.477029323577881	nan	2.0
3.4944021701812744	nan	2.0
3.507932186126709	nan	2.0
3.527247905731201	nan	2.0
3.5419697761535645	nan	2.0
3.5595407485961914	nan	2.0
3.5822887420654297	nan	2.0
3.597541093826294	nan	2.0
3.6098363399505615	nan	2.0
3.623372793197632	nan	2.0
3.6368563175201416	nan	2.0
3.6490204334259033	nan	2.0
3.6620941162109375	nan	2.0
3.6772212982177734	nan	2.0
3.6886146068573	nan	2.0
3.6999270915985107	nan	2.0
3.7146999835968018	nan	2.0
3.729613780975342	nan	2.0
3.740360736846924	nan	2.0
3.752887010574341	nan	2.0
3.7679696083068848	nan	2.0
3.781489610671997	nan	2.0
3.797654390335083	nan	2.0
3.812859058380127	nan	2.0
3.826345443725586	nan	2.0
3.8390450477600098	nan	2.0
3.8532426357269287	nan	2.0
3.8729655742645264	nan	2.0
3.8872334957122803	nan	2.0
3.8998794555664062	nan	2.0
3.918057680130005	nan	2.0
3.9322593212127686	nan	2.0
3.9461092948913574	nan	2.0
3.960949182510376	nan	2.0
3.9756314754486084	nan	2.0
3.9888930320739746	nan	2.0
4.004544496536255	nan	2.0
4.019960403442383	nan	2.0
4.03406834602356	nan	2.0
4.047590970993042	nan	2.0
4.060511350631714	nan	2.0
4.072473764419556	nan	2.0
4.0865936279296875	nan	2.0
4.100323677062988	nan	2.0
4.114742994308472	nan	2.0
4.126195907592773	nan	2.0
4.137994050979614	nan	2.0
4.150807619094849	nan	2.0
4.164326906204224	nan	2.0
4.177608251571655	nan	2.0
4.192521810531616	nan	2.0
4.20639967918396	nan	2.0
4.217665433883667	nan	2.0
4.230906009674072	nan	2.0
4.250114679336548	nan	2.0
4.264129400253296	nan	2.0
4.276238918304443	nan	2.0
4.290234804153442	nan	2.0
4.303096055984497	nan	2.0
4.317779302597046	nan	2.0
4.330681085586548	nan	2.0
4.346921920776367	nan	2.0
4.359769344329834	nan	2.0
4.372429609298706	nan	2.0
4.387793779373169	nan	2.0
4.401076316833496	nan	2.0
4.412655830383301	nan	2.0
4.425694942474365	nan	2.0
4.441274166107178	nan	2.0
4.452408790588379	nan	2.0
4.463412284851074	nan	2.0
4.476096153259277	nan	2.0
4.490190744400024	nan	2.0
4.502475738525391	nan	2.0
4.513333082199097	nan	2.0
4.526582717895508	nan	2.0
4.538071870803833	nan	2.0
4.548776865005493	nan	2.0
4.5612452030181885	nan	2.0
4.575579643249512	nan	2.0
4.586652517318726	nan	2.0
4.597161054611206	nan	2.0
4.609518051147461	nan	2.0
4.62238335609436	nan	2.0
4.633718967437744	nan	2.0
4.643815994262695	nan	2.0
4.6549599170684814	nan	2.0
4.666205167770386	nan	2.0
4.6769633293151855	nan	2.0
4.687574625015259	nan	2.0
4.699565649032593	nan	2.0
4.712008476257324	nan	2.0
4.722595453262329	nan	2.0
4.733477592468262	nan	2.0
4.744960784912109	nan	2.0
4.756114959716797	nan	2.0
4.766602993011475	nan	2.0
4.777773857116699	nan	2.0
4.788487434387207	nan	2.0
4.80089259147644	nan	2.0
4.8113367557525635	nan	2.0
4.825531244277954	nan	2.0
4.8413989543914795	nan	2.0
4.855561971664429	nan	2.0
4.866942644119263	nan	2.0
4.879249334335327	nan	2.0
4.893850088119507	nan	2.0
4.904567718505859	nan	2.0
4.915426254272461	nan	2.0
4.933518409729004	nan	2.0
4.944863557815552	nan	2.0
4.956439018249512	nan	2.0
4.96793007850647	nan	2.0
4.980510473251343	nan	2.0
5.003127813339233	nan	2.0
5.028445482254028	nan	2.0
5.042335748672485	nan	2.0
5.05657696723938	nan	2.0
5.07154107093811	nan	2.0
5.097624778747559	nan	2.0
5.113435745239258	nan	2.0
5.130879640579224	nan	2.0
5.144958257675171	nan	2.0
5.158547639846802	nan	2.0
5.174287796020508	nan	2.0
5.187214374542236	nan	2.0
5.197706460952759	nan	2.0
5.209250211715698	nan	2.0
5.223548412322998	nan	2.0
5.23642635345459	nan	2.0
5.247848272323608	nan	2.0
5.2599101066589355	nan	2.0
5.271616697311401	nan	2.0
5.2823569774627686	nan	2.0
5.293462753295898	nan	2.0
5.3073976039886475	nan	2.0
5.31951379776001	nan	2.0
5.330743074417114	nan	2.0
5.341459512710571	nan	2.0
5.351866722106934	nan	2.0
5.362997055053711	nan	2.0
5.373582601547241	nan	2.0
5.383782386779785	nan	2.0
5.396026372909546	nan	2.0
5.408980846405029	nan	2.0
5.42053484916687	nan	2.0
5.430511951446533	nan	2.0
5.441905975341797	nan	2.0
5.453846216201782	nan	2.0
5.464543342590332	nan	2.0
5.475946426391602	nan	2.0
5.489092826843262	nan	2.0
5.50067663192749	nan	2.0
5.511547088623047	nan	2.0
5.522476673126221	nan	2.0
5.5371997356414795	nan	2.0
5.5487916469573975	nan	2.0
5.560410737991333	nan	2.0
5.574373960494995	nan	2.0
5.586940765380859	nan	2.0
5.597615718841553	nan	2.0
5.609208583831787	nan	2.0
5.6230387687683105	nan	2.0
5.634709596633911	nan	2.0
5.64555549621582	nan	2.0
5.657144069671631	nan	2.0
5.669364929199219	nan	2.0
5.680285930633545	nan	2.0
5.690540075302124	nan	2.0
5.702355623245239	nan	2.0
5.713632822036743	nan	2.0
5.7245025634765625	nan	2.0
5.735226631164551	nan	2.0
5.746910810470581	nan	2.0
5.758867025375366	nan	2.0
5.76904296875	nan	2.0
5.779966592788696	nan	2.0
5.79154896736145	nan	2.0
5.804600477218628	nan	2.0
5.815919876098633	nan	2.0
5.8261330127716064	nan	2.0
5.836951732635498	nan	2.0
5.851029872894287	nan	2.0
5.861620187759399	nan	2.0
5.872718811035156	nan	2.0
5.885437488555908	nan	2.0
5.898457050323486	nan	2.0
5.909223318099976	nan	2.0
5.921195030212402	nan	2.0
5.934491157531738	nan	2.0
5.946876525878906	nan	2.0
5.958014249801636	nan	2.0
5.970363140106201	nan	2.0
5.984082221984863	nan	2.0
5.995745897293091	nan	2.0
6.009019613265991	nan	2.0
6.023571014404297	nan	2.0
6.0344765186309814	nan	2.0
6.044873237609863	nan	2.0
6.057373523712158	nan	2.0
6.071831464767456	nan	2.0
6.084099054336548	nan	2.0
6.094561338424683	nan	2.0
6.106191158294678	nan	2.0
6.11679482460022	nan	2.0
6.127702713012695	nan	2.0
