t_s	measured_width_mm	target_width_mm
0.0013689994812011719	nan	2.0
0.06528282165527344	nan	2.0
0.07630753517150879	nan	2.0
0.0874168872833252	nan	2.0
0.09845972061157227	nan	2.0
0.10935306549072266	nan	2.0
0.12028717994689941	nan	2.0
0.13155841827392578	nan	2.0
0.14252519607543945	nan	2.0
0.15352940559387207	nan	2.0
0.16474223136901855	nan	2.0
0.17579984664916992	nan	2.0
0.18655991554260254	nan	2.0
0.19768762588500977	nan	2.0
0.20868349075317383	nan	2.0
0.21953082084655762	nan	2.0
0.23060107231140137	nan	2.0
0.2416691780090332	nan	2.0
0.2526719570159912	nan	2.0
0.26377058029174805	nan	2.0
0.27472376823425293	nan	2.0
0.2855954170227051	nan	2.0
0.2963376045227051	nan	2.0
0.30696892738342285	nan	2.0
0.31746768951416016	nan	2.0
0.32804298400878906	nan	2.0
0.33857274055480957	nan	2.0
0.34912109375	nan	2.0
0.3596761226654053	nan	2.0
0.37021827697753906	nan	2.0
0.3807840347290039	nan	2.0
0.39137721061706543	nan	2.0
0.40192675590515137	nan	2.0
0.41249990463256836	nan	2.0
0.4230520725250244	nan	2.0
0.43358731269836426	nan	2.0
0.44464802742004395	nan	2.0
0.45519471168518066	nan	2.0
0.4667396545410156	nan	2.0
0.4772930145263672	nan	2.0
0.4878652095794678	nan	2.0
0.4988250732421875	nan	2.0
0.5095202922821045	nan	2.0
0.5201117992401123	nan	2.0
0.5307495594024658	nan	2.0
0.5422167778015137	nan	2.0
0.5530707836151123	nan	2.0
0.5641076564788818	nan	2.0
0.575162410736084	nan	2.0
0.5858354568481445	nan	2.0
0.5966308116912842	nan	2.0
0.6072285175323486	nan	2.0
0.6177420616149902	nan	2.0
0.6288230419158936	nan	2.0
0.6396269798278809	nan	2.0
0.6506881713867188	nan	2.0
0.6614296436309814	nan	2.0
0.6725518703460693	nan	2.0
0.6832005977630615	nan	2.0
0.6941695213317871	nan	2.0
0.7048566341400146	nan	2.0
0.7159790992736816	nan	2.0
0.7271609306335449	nan	2.0
0.7379202842712402	nan	2.0
0.7490060329437256	nan	2.0
0.7600915431976318	nan	2.0
0.770798921585083	nan	2.0
0.7819769382476807	nan	2.0
0.7928597927093506	nan	2.0
0.803633451461792	nan	2.0
0.8172564506530762	nan	2.0
0.8279411792755127	nan	2.0
0.8390147686004639	nan	2.0
0.849693775177002	nan	2.0
0.8604793548583984	nan	2.0
0.871396541595459	nan	2.0
